date,term,bid_cover,offering
2023-11-27,26-Week,3.01,68000000000.0
2023-12-04,26-Week,2.66,68000000000.0
2023-12-11,26-Week,3.03,68000000000.0
2023-12-18,26-Week,3.1,68000000000.0
2023-12-26,26-Week,3.23,68000000000.0
2024-01-02,26-Week,3.06,68000000000.0
2024-01-08,26-Week,3.06,68000000000.0
2024-01-16,26-Week,3.17,68000000000.0
2024-01-22,26-Week,2.92,70000000000.0
2024-01-29,26-Week,3.14,70000000000.0
2024-02-05,26-Week,2.91,70000000000.0
2024-02-12,26-Week,2.77,70000000000.0
2024-02-20,26-Week,2.96,70000000000.0
2024-02-26,26-Week,2.92,70000000000.0
2024-03-04,26-Week,2.59,70000000000.0
2024-03-11,26-Week,2.95,70000000000.0
2024-03-18,26-Week,2.76,70000000000.0
2024-03-25,26-Week,2.72,70000000000.0
2024-04-01,26-Week,2.85,70000000000.0
2024-04-08,26-Week,3.0,70000000000.0
2024-04-15,26-Week,2.79,70000000000.0
2024-04-22,26-Week,2.8,70000000000.0
2024-04-29,26-Week,2.98,70000000000.0
2024-05-06,26-Week,2.91,70000000000.0
2024-05-13,26-Week,3.02,70000000000.0
2024-05-20,26-Week,2.92,70000000000.0
2024-05-28,26-Week,3.06,70000000000.0
2024-06-03,26-Week,2.95,70000000000.0
2024-06-10,26-Week,3.09,70000000000.0
2024-06-17,26-Week,2.82,70000000000.0
2024-06-24,26-Week,3.16,70000000000.0
2024-07-01,26-Week,2.99,70000000000.0
2024-07-08,26-Week,2.95,70000000000.0
2024-07-15,26-Week,2.85,70000000000.0
2024-07-22,26-Week,2.85,70000000000.0
2024-07-29,26-Week,2.95,70000000000.0
2024-08-05,26-Week,2.67,70000000000.0
2024-08-12,26-Week,2.73,70000000000.0
2024-08-19,26-Week,3.05,70000000000.0
2024-08-26,26-Week,3.05,70000000000.0
2024-09-03,26-Week,3.08,70000000000.0
2024-09-09,26-Week,2.98,70000000000.0
2024-09-16,26-Week,2.98,70000000000.0
2024-09-23,26-Week,3.42,70000000000.0
2024-09-30,26-Week,3.28,72000000000.0
2024-10-07,26-Week,3.38,72000000000.0
2024-10-15,26-Week,3.05,72000000000.0
2024-10-21,26-Week,2.92,72000000000.0
2024-10-28,26-Week,3.25,72000000000.0
2024-11-04,26-Week,3.0,72000000000.0
2024-11-12,26-Week,2.73,72000000000.0
2024-11-18,26-Week,2.87,72000000000.0
2024-11-25,26-Week,2.69,72000000000.0
2024-12-02,26-Week,3.02,72000000000.0
2024-12-09,26-Week,2.9,72000000000.0
2024-12-16,26-Week,3.29,72000000000.0
2024-12-23,26-Week,2.87,72000000000.0
2024-12-30,26-Week,3.03,72000000000.0
2025-01-06,26-Week,3.2,72000000000.0
2025-01-13,26-Week,2.81,72000000000.0
2025-01-21,26-Week,3.04,72000000000.0
2025-01-27,26-Week,2.92,72000000000.0
2025-02-03,26-Week,3.04,72000000000.0
2025-02-10,26-Week,2.86,72000000000.0
2025-02-18,26-Week,2.63,70000000000.0
2025-02-24,26-Week,3.05,68000000000.0
2025-03-03,26-Week,3.27,68000000000.0
2025-03-10,26-Week,3.03,68000000000.0
2025-03-17,26-Week,3.01,68000000000.0
2025-03-24,26-Week,3.27,68000000000.0
2025-03-31,26-Week,2.99,68000000000.0
2025-04-07,26-Week,2.79,68000000000.0
2025-04-14,26-Week,2.8,68000000000.0
2025-04-21,26-Week,2.93,68000000000.0
2025-04-28,26-Week,2.8,68000000000.0
2025-05-05,26-Week,3.52,68000000000.0
2025-05-12,26-Week,3.26,68000000000.0
2025-05-19,26-Week,2.59,68000000000.0
2025-05-27,26-Week,2.95,68000000000.0
2025-06-02,26-Week,3.13,68000000000.0
2025-06-09,26-Week,2.74,68000000000.0
2025-06-16,26-Week,2.73,68000000000.0
2025-06-23,26-Week,2.7,68000000000.0
2025-06-30,26-Week,2.77,71000000000.0
2025-07-07,26-Week,3.0,73000000000.0
2025-07-14,26-Week,3.1,73000000000.0
2025-07-21,26-Week,3.06,73000000000.0
2025-07-28,26-Week,3.36,73000000000.0
2025-08-04,26-Week,3.14,73000000000.0
2025-08-11,26-Week,3.21,73000000000.0
2025-08-18,26-Week,2.95,73000000000.0
2025-08-25,26-Week,3.36,73000000000.0
2025-09-02,26-Week,2.7,73000000000.0
2025-09-08,26-Week,3.17,73000000000.0
2025-09-15,26-Week,3.09,73000000000.0
2025-09-22,26-Week,3.01,73000000000.0
2025-09-29,26-Week,3.0,73000000000.0
2025-10-06,26-Week,3.04,75000000000.0
2025-10-14,26-Week,2.95,77000000000.0
2025-10-20,26-Week,3.02,77000000000.0
2025-10-27,26-Week,3.06,77000000000.0
2025-11-03,26-Week,2.92,77000000000.0
2025-11-10,26-Week,2.95,77000000000.0
2025-11-17,26-Week,2.8,77000000000.0
2025-11-24,26-Week,2.77,77000000000.0
2025-12-01,26-Week,3.02,77000000000.0
2025-12-08,26-Week,3.01,77000000000.0
2025-12-15,26-Week,2.84,77000000000.0
2025-12-22,26-Week,3.18,77000000000.0
2025-12-29,26-Week,2.52,77000000000.0
2026-01-05,26-Week,3.28,77000000000.0
2026-01-12,26-Week,3.17,77000000000.0
2026-01-20,26-Week,2.95,77000000000.0
2026-01-26,26-Week,3.07,77000000000.0
2026-02-02,26-Week,3.08,77000000000.0
2026-02-09,26-Week,3.09,77000000000.0
2026-02-17,26-Week,3.08,77000000000.0
2026-02-23,26-Week,3.03,77000000000.0
2026-03-02,26-Week,3.1,77000000000.0
2026-03-09,26-Week,3.09,77000000000.0
2026-03-16,26-Week,2.64,77000000000.0
2026-03-23,26-Week,3.03,77000000000.0
2026-03-30,26-Week,2.83,77000000000.0
2021-01-07,4-Week,3.46,30000000000.0
2021-01-14,4-Week,3.62,30000000000.0
2021-01-21,4-Week,3.95,30000000000.0
2021-01-28,4-Week,3.91,30000000000.0
2021-02-04,4-Week,3.86,30000000000.0
2021-02-11,4-Week,4.1,30000000000.0
2021-02-18,4-Week,3.65,30000000000.0
2021-02-25,4-Week,3.3,30000000000.0
2021-03-04,4-Week,3.4,30000000000.0
2021-03-11,4-Week,3.81,30000000000.0
2021-03-18,4-Week,3.3,40000000000.0
2021-03-25,4-Week,3.1,40000000000.0
2021-04-01,4-Week,3.19,40000000000.0
2021-04-08,4-Week,3.72,40000000000.0
2021-04-15,4-Week,3.64,40000000000.0
2021-04-22,4-Week,3.73,40000000000.0
2021-04-29,4-Week,3.75,40000000000.0
2021-05-06,4-Week,3.48,40000000000.0
2021-05-13,4-Week,4.17,40000000000.0
2021-05-20,4-Week,3.98,40000000000.0
2021-05-27,4-Week,4.06,40000000000.0
2021-06-03,4-Week,3.73,40000000000.0
2021-06-10,4-Week,3.16,40000000000.0
2021-06-17,4-Week,3.48,40000000000.0
2021-06-24,4-Week,3.24,40000000000.0
2021-07-01,4-Week,3.46,40000000000.0
2021-07-08,4-Week,3.37,40000000000.0
2021-07-15,4-Week,3.73,40000000000.0
2021-07-22,4-Week,3.41,40000000000.0
2021-07-29,4-Week,3.45,40000000000.0
2021-08-05,4-Week,3.34,40000000000.0
2021-08-12,4-Week,3.3,40000000000.0
2021-08-19,4-Week,3.46,35000000000.0
2021-08-26,4-Week,3.83,30000000000.0
2021-09-02,4-Week,3.85,25000000000.0
2021-09-09,4-Week,4.29,20000000000.0
2021-09-16,4-Week,3.96,15000000000.0
2021-09-23,4-Week,4.74,10000000000.0
2021-09-30,4-Week,4.59,10000000000.0
2021-10-07,4-Week,5.81,10000000000.0
2021-10-14,4-Week,3.58,25000000000.0
2021-10-21,4-Week,3.52,60000000000.0
2021-10-28,4-Week,3.44,60000000000.0
2021-11-04,4-Week,5.48,10000000000.0
2021-11-10,4-Week,5.21,10000000000.0
2021-11-18,4-Week,4.34,10000000000.0
2021-11-24,4-Week,3.78,10000000000.0
2021-12-02,4-Week,4.83,10000000000.0
2021-12-09,4-Week,5.56,10000000000.0
2021-12-16,4-Week,3.06,30000000000.0
2021-12-23,4-Week,2.95,50000000000.0
2021-12-30,4-Week,2.67,50000000000.0
2022-01-06,4-Week,3.53,50000000000.0
2022-01-13,4-Week,3.17,50000000000.0
2022-01-20,4-Week,3.16,50000000000.0
2022-01-27,4-Week,3.09,50000000000.0
2022-02-03,4-Week,3.18,50000000000.0
